park_name,pw_count,area_m2,pw_per_m2
Stanley Park,15,4179500,4e-06
Queen Elizabeth Park,3,529900,6e-06
Kitsilano Beach Park,3,136000,2.2e-05
Locarno Beach Park,2,147200,1.4e-05
Sunset Beach Park,2,36400,5.5e-05
Hastings Community Park,2,42000,4.8e-05
Spanish Banks Beach Park,2,65100,3.1e-05
Memorial West Park,2,75100,2.7e-05
Rupert Park,2,118300,1.7e-05
Vandusen Botanical Garden,2,223400,9e-06
Oak Park,2,52600,3.8e-05
John Hendry (Trout Lake) Park,2,273700,7e-06
Chaldecott Park,1,34500,2.9e-05
Adanac Park,1,41800,2.4e-05
David Lam Park,1,35500,2.8e-05
Andy Livingstone Park,1,42200,2.4e-05
McBride Park,1,17100,5.8e-05
Nelson Park,1,11700,8.5e-05
Prince Edward Park,1,12200,8.2e-05
Granville Park,1,19700,5.1e-05
Riverfront Park,1,42100,2.4e-05
Douglas Park,1,53300,1.9e-05
Norquay Park,1,22700,4.4e-05
Kerrisdale Park,1,29900,3.3e-05
Falaise Park,1,75800,1.3e-05
Gordon Park,1,68900,1.5e-05
Moberly Park,1,36000,2.8e-05
Nanaimo Park,1,29200,3.4e-05
Carnarvon Park,1,42400,2.4e-05
Connaught Park,1,59900,1.7e-05
Oak Meadows Park,1,47400,2.1e-05
Grays Park,1,16200,6.2e-05
Montgomery Park,1,40300,2.5e-05
Fraser River Park,1,91000,1.1e-05
Locarno Park,1,43200,2.3e-05
Jericho Beach Park,1,482000,2e-06
Garden Park,1,9700,0.000103
Pioneer Place (Pigeon Park),1,400,0.0025
Champlain Heights Park,1,78600,1.3e-05
Bobolink Park,1,38300,2.6e-05
Maple Grove Park,1,42000,2.4e-05
Kensington Park,1,57600,1.7e-05
Memorial South Park,1,137500,7e-06
Vanier Park,1,213300,5e-06
Pandora Park,1,16700,6e-05
Ross Park,1,15100,6.6e-05
Slocan Park,1,42100,2.4e-05
Burrard View Park,1,27700,3.6e-05
West Point Grey Park,1,37500,2.7e-05
Brewers Park,1,13900,7.2e-05
Victoria Park,1,8900,0.000112
Tatlow Park,1,14000,7.1e-05
Beaconsfield Park,1,44400,2.3e-05
Renfrew Community Park,1,50100,2e-05
New Brighton Park,1,103800,1e-05
English Bay Beach Park,1,99700,1e-05
Collingwood Park,1,12700,7.9e-05
China Creek North Park,1,31700,3.2e-05
Sunset Park,1,71300,1.4e-05
Quilchena Park,1,76900,1.3e-05
Robson Park,1,15600,6.4e-05
Trafalgar Park,1,48600,2.1e-05
Trillium Park,1,30500,3.3e-05
Winona Park,1,53200,1.9e-05
sθәqәlxenәm ts'exwts'áxwi7 (Rainbow),1,,
Elm Park,1,14900,6.7e-05
Clinton Park,1,30500,3.3e-05
Maclean Park,1,12100,8.3e-05
Kerrisdale Centennial Park,1,15300,6.5e-05
Sunrise Park,1,31800,3.1e-05
Kingcrest Park,1,24700,4e-05
Grandview Park,1,8900,0.000112
Jones Park,1,14300,7e-05
Jonathan Rogers Park,1,14000,7.1e-05
Musqueam Park,1,237500,4e-06
Killarney Park,1,133900,7e-06
Oppenheimer Park,1,9800,0.000102
Riley Park,1,27000,3.7e-05
Columbia Park,1,27900,3.6e-05
Harbour Green Park,1,32000,3.1e-05
Coal Harbour Park,1,9500,0.000105
Spanish Banks Extension,1,79900,1.3e-05
Woodland Park,1,15800,6.3e-05
Braemar Park,1,12600,7.9e-05
Slidey Slides,1,62000,1.6e-05
Barclay Heritage Square,1,6300,0.000159
Coopers' Park,1,18500,5.4e-05
Roundhouse Turntable Plaza,1,9100,0.00011
Hillcrest Park,1,75300,1.3e-05
CRAB Park at Portside,1,33000,3e-05
Balaclava Park,1,48900,2e-05
Strathcona Park,1,100900,1e-05
Kinross Ravine Park,0,12000,0.0
Aberdeen Park,0,9800,0.0
West End minipark - NICOLA ST @ PENDRELL ST,0,800,0.0
West End minipark - CARDERO ST @ BURNABY ST,0,800,0.0
Lilian To,0,700,0.0
Triangle Park,0,500,0.0
Sun Hop Park,0,1600,0.0
East Fraserlands Neighbourhood Park North,0,1300,0.0
Empire Fields - Hastings Park,0,62000,0.0
Creekside Park,0,25400,0.0
McGill Park,0,2600,0.0
MacDonald Park,0,10500,0.0
Helmcken Park,0,1700,0.0
Strathcona Linear Park,0,5000,0.0
Shaughnessy Park,0,14500,0.0
Quadra West Park,0,1400,0.0
Park Site On Puget Drive,0,900,0.0
Park Site On Trafalgar Street,0,1400,0.0
Bates Park,0,3500,0.0
Sutcliffe Park,0,25200,0.0
William Mackie Park,0,4100,0.0
Prince Of Wales Park,0,28900,0.0
Park Site On Shaughnessy Street,0,5600,0.0
Eburne Park,0,9000,0.0
Glen Park,0,10900,0.0
Valdez Park,0,7700,0.0
Melbourne Park,0,4900,0.0
Westmount Park,0,4000,0.0
Sunnyside Park,0,11300,0.0
Choklit Park,0,700,0.0
Yaletown Park,0,1400,0.0
Ebisu Park,0,4200,0.0
Carleton Park,0,6800,0.0
Cambie Park,0,9300,0.0
Delamont Park,0,2200,0.0
Arbutus Park,0,7400,0.0
Captain Cook Park,0,55000,0.0
Rosemont Park,0,13600,0.0
Hadden Park,0,29600,0.0
Renfrew Ravine Park,0,60600,0.0
Tea Swamp Park,0,2600,0.0
Cambridge Park,0,2300,0.0
Fraserview Park,0,12700,0.0
George Park,0,14400,0.0
Langara Park,0,12100,0.0
Foster Park,0,3000,0.0
Seaforth Peace Park,0,7900,0.0
Oxford Park,0,2500,0.0
Rosemary Brown Park,0,4900,0.0
Price Park,0,3500,0.0
Mount Pleasant Park,0,11200,0.0
Guelph Park,0,10400,0.0
Cedar Cottage Park,0,4700,0.0
Clark Park,0,43000,0.0
Arbutus Village Park,0,14100,0.0
West End minipark - CHILCO ST @ COMOX ST,0,800,0.0
Promontory Park,0,3000,0.0
Everett Crowley Park,0,381700,0.0
Callister Park,0,14500,0.0
Ravine Park,0,9200,0.0
Alexandra Park,0,5500,0.0
Ash Park,0,5100,0.0
Park Site on Blenheim,0,700,0.0
Emery Barnes Park,0,9000,0.0
Tisdall Park,0,50300,0.0
Fraser River Trail Park,0,5000,0.0
Cariboo Park,0,7700,0.0
Gaston Park,0,15100,0.0
Marpole Park,0,2700,0.0
Kaslo Park,0,4500,0.0
Shannon Park,0,9400,0.0
Tecumseh Park,0,21000,0.0
Templeton Park,0,19300,0.0
Morton Park,0,2200,0.0
Hastings Park - Sanctuary,0,42400,0.0
Jean Beaty Park,0,1300,0.0
Shannon Mews Park,0,2700,0.0
Hastings Park - Italian Garden,0,19600,0.0
Pocket Park,0,700,0.0
West End minipark - BUTE ST @ HARO ST,0,800,0.0
West End minipark - GILFORD ST @ HARO ST,0,800,0.0
Mosaic Creek Park,0,1100,0.0
Gladstone-Riverside Park,0,11300,0.0
Vanier Park (Cultural Harmony Grove),0,2900,0.0
McCleery Park,0,2500,0.0
McAuley Park,0,800,0.0
Street End - Wall St @ Renfrew,0,1000,0.0
Downtown Skateboard Plaza,0,2800,0.0
6th and Fir,0,1300,0.0
George Wainborn Park,0,23600,0.0
Devonshire Park,0,15300,0.0
May & Lorne Brown Park,0,2500,0.0
Mont Royal Square,0,2300,0.0
Park Site On South East False Creek (Hinge Park),0,13300,0.0
McSpadden Park,0,16300,0.0
Marina Square,0,6300,0.0
Volunteer Park,0,7200,0.0
Park Site On Quesnel Drive,0,300,0.0
Thunderbird Park,0,8900,0.0
Wendy Poole Park,0,400,0.0
Willow Park,0,700,0.0
Salsbury Park,0,2400,0.0
Major Matthews Park,0,700,0.0
Carolina Park,0,800,0.0
Laurel Landbridge Park,0,1500,0.0
Arbutus Greenway Park,0,6900,0.0
Devonian Harbour Park,0,44400,0.0
Granville Island Water Park,0,2600,0.0
Charles Park,0,15400,0.0
Sun Yat-sen Gardens Park,0,8100,0.0
Alice Townley Park,0,2200,0.0
,0,,
Cartier Park,0,3700,0.0
Cardero Park,0,3300,0.0
East Fraserlands Neighbourhood Park South,0,1200,0.0
Kinross Corridor – North,0,1000,0.0
Main and 7th,0,,
Art Phillips Park,0,1000,0.0
Gibby's Field,0,,
Kinross Corridor - Middle,0,1400,0.0
Kinross Corridor – South,0,3600,0.0
Street End - Wall St @ Penticton,0,1100,0.0
West End minipark - BROUGHTON ST @ NELSON ST,0,800,0.0
Granville Loop Park,0,10600,0.0
Heather Park,0,9800,0.0
Thornton Park,0,16400,0.0
General Brock Park,0,21100,0.0
Grimmett Park,0,2400,0.0
Riverview Park,0,23800,0.0
Humm Park,0,4700,0.0
Hastings Mill Park,0,12300,0.0
Almond Park,0,16100,0.0
Malkin Park,0,24300,0.0
Deering Island Park,0,6400,0.0
Sparwood Park,0,36200,0.0
Dusty Greenwell Park,0,5300,0.0
Park Site On Trinity Street,0,1600,0.0
Creekway Park,0,16600,0.0
Sahalli Park,0,5500,0.0
China Creek South Park,0,15200,0.0
Portal Park,0,1000,0.0
Charleson Park,0,73200,0.0
Cathedral Square,0,2700,0.0
Habitat Island Park,0,6000,0.0
Margaret Pigott Park,0,3800,0.0
Nat Bailey Stadium Park,0,62200,0.0
Park Site on Point Grey at Stephens,0,2300,0.0
Victory Square,0,3900,0.0
Street End - Wall St @ Slocan,0,1200,0.0
W.C. Shelly Park,0,3000,0.0
Street End - Wall St @ Cambridge,0,500,0.0
Park Site on Jervis St. @ Pacific St,0,600,0.0
Park Site on Point Grey at Trafalgar,0,2900,0.0
Park Site on Point Grey at šxʷməθkʷəy̓əmasəm (Musq,0,2100,0.0
West End minipark - JERVIS ST @ BURNABY ST,0,800,0.0
West End minipark - CARDERO ST @ COMOX ST,0,800,0.0
Street End - Wall St @ Nanaimo,0,600,0.0
Street End - Wall St @ Kamloops,0,1300,0.0
Angus Park,0,9000,0.0
5th and Pine,0,1100,0.0
Earles Park,0,15900,0.0
East Park,0,,
